Serbia	Dinar	RSD	132.230000	2019-08-01	2019-08-31
Seychelles	Rupee	SCR	17.467500	2019-08-01	2019-08-31
Sierra Leone	Leone	SLL	11499.570000	2019-08-01	2019-08-31
Singapore	Dollar	SGD	1.704900	2019-08-01	2019-08-31
Soloman Islands	Dollar	SBD	10.027700	2019-08-01	2019-08-31
Somali Republic	Schilling	SOS	724.970000	2019-08-01	2019-08-31
South Africa	Rand	ZAR	17.347800	2019-08-01	2019-08-31
South Korea	Won	KRW	1472.250000	2019-08-01	2019-08-31
Sri Lanka	Rupee	LKR	220.110000	2019-08-01	2019-08-31
St Christopher & Anguilla	E Caribbean Dollar	XCD	3.374900	2019-08-01	2019-08-31
St Lucia	E Caribbean Dollar	XCD	3.374900	2019-08-01	2019-08-31
St Vincent	E Caribbean Dollar	XCD	3.374900	2019-08-01	2019-08-31
Sudan Republic	Pound	SDG	56.401600	2019-08-01	2019-08-31
Surinam	Dollar	SRD	9.322200	2019-08-01	2019-08-31
Swaziland	Lilangeni	SZL	17.347800	2019-08-01	2019-08-31
Sweden	Krona	SEK	11.788400	2019-08-01	2019-08-31
Switzerland	Franc	CHF	1.231500	2019-08-01	2019-08-31
Taiwan	Dollar	TWD	38.849200	2019-08-01	2019-08-31
Tanzania	Schilling	TZS	2877.390000	2019-08-01	2019-08-31
Thailand	Baht	THB	38.614200	2019-08-01	2019-08-31
Togo Republic	CFA Franc	XOF	735.810000	2019-08-01	2019-08-31
Tonga Islands	Pa'anga (AUS)	TOP	1.790900	2019-08-01	2019-08-31
Trinidad/Tobago	Dollar	TTD	8.438800	2019-08-01	2019-08-31
Tunisia	Dinar	TND	3.603500	2019-08-01	2019-08-31
Turkey	Turkish  Lira	TRY	7.131000	2019-08-01	2019-08-31
Turkmenistan	New Manat	TMT	4.387300	2019-08-01	2019-08-31
UAE	Dirham	AED	4.591300	2019-08-01	2019-08-31
Uganda	Schilling	UGX	4618.570000	2019-08-01	2019-08-31
Ukraine	Hryvnia	UAH	31.830000	2019-08-01	2019-08-31
Uruguay	Peso	UYU	42.704600	2019-08-01	2019-08-31
USA	Dollar	USD	1.250000	2019-08-01	2019-08-31
Uzbekistan	Sum	UZS	10780.240000	2019-08-01	2019-08-31
Vanuatu	Vatu	VUV	143.760000	2019-08-01	2019-08-31
Venezuela	Bolivar Fuerte	VEF	309432.330000	2019-08-01	2019-08-31
Vietnam	Dong	VND	29023.360000	2019-08-01	2019-08-31
Wallis & Futuna Islands	CFP Franc	XPF	133.850000	2019-08-01	2019-08-31
Western Samoa	Tala	WST	3.267000	2019-08-01	2019-08-31
Yemen (Rep of)	Rial	YER	312.920000	2019-08-01	2019-08-31
Zambia	Kwacha	ZMW	16.160000	2019-08-01	2019-08-31
Zimbabwe	Dollar	ZWL	452.350000	2019-08-01	2019-08-31
